Class,Mean_Hue,Mean_Saturation,Mean_Value
MATANG,15.623756800673448,72.47711969934653,45.37692123708559
MATANG,21.737442172418618,61.405378839351734,48.4030649554865
MATANG,23.88579146349993,66.87867714099438,52.684604717881335
MATANG,17.240428629773586,80.02247094882196,50.25501167167922
MATANG,23.600384715783058,67.7770560952519,53.57055683089866
MATANG,18.46743139375712,75.10068056693511,50.75531782688196
MATANG,15.854761595491697,84.8866298385324,51.37308766186727
MATANG,22.703286274005315,80.05356107991447,53.261549123468754
MATANG,24.797833901201017,56.60758552986551,53.61700280769769
MATANG,20.190976055884175,61.41572957050219,51.35626005425551
MATANG,20.134290662906416,68.17752240038169,53.04616277152735
MATANG,22.60030587418317,57.96039029246018,51.055963953308286
MATANG,23.491340538258626,60.64511928343758,53.56084635598809
MATANG,18.995714763893606,61.900101916428525,46.77521541710797
MATANG,22.95338681656042,83.95146105193741,61.136903520363305
MATANG,20.001601187026637,56.316052087288426,46.21457748396315
MATANG,20.94949063642813,65.78390516651346,51.996650090675644
MATANG,18.018233329919465,63.43709626855978,50.06803405582422
MATANG,24.514999419226235,55.62672327441498,54.45683383375632
MATANG,20.721306497422113,59.419007975959715,50.293743193081674
MATANG,21.764396632261544,59.990038168701666,51.381988488189684
MATANG,20.306785779410884,95.42114575423153,60.28137458534002
MATANG,23.734296002278132,82.17810692107471,61.66179873129034
MATANG,24.05754968425891,94.49447234517696,65.7578997721868
MATANG,19.32396856452709,99.76128621405448,64.52231966662337
MATANG,26.119661252772726,69.056207815841,58.25534592883835
MATANG,20.272682181860873,84.84784773360845,57.431696321516355
MATANG,19.68392386992666,87.91547212535721,56.228262512239965
MATANG,22.40081336429128,95.50921026008673,64.04667250979197
MATANG,26.541297386143363,81.46633604194561,64.70377571641254
MATANG,21.300333570222417,96.30506906211906,62.55045487700086
MATANG,19.176005831468196,99.0440151575708,64.43163855638376
MATANG,21.711043662946384,95.38766461501568,64.3392191840191
MATANG,19.446129642443196,84.37037691592894,57.13341325737895
MATANG,15.229846838092763,79.69564082452389,51.43766751888452
MATANG,18.47478864206351,83.32595646569813,57.00873221458404
MATANG,25.54503822490558,74.94006336678923,60.09947671034752
MATANG,19.291337821736175,75.12707205091824,54.08976061504566
MATANG,19.863646341250174,81.52451536614976,55.47066967586579
MATANG,14.923777502447992,79.96691041470994,48.51633957030235
MATANG,15.967415469315162,76.37657558302192,48.66719633650407
MATANG,13.910527586129374,77.55178285056253,49.75920245398773
MATANG,19.609077275384184,78.71379172203793,54.9260915424352
MATANG,18.39182432905018,69.0646277864651,50.341543528056995
MATANG,18.384018230051357,79.7838861196319,55.452018251283945
MATANG,15.803932494104835,82.01911682420415,53.31085556718491
MATANG,14.602812256449711,79.23769509002618,50.30604201429828
MENTAH,14.535004889740414,66.0023608765812,57.25125990437841
MENTAH,14.311471468395915,65.91493647084391,56.12281788308587
MENTAH,18.762673201724585,84.33355648368338,69.90474467186907
MENTAH,19.486055184748505,86.24082455511481,75.02095594112828
MENTAH,20.2943675248796,90.65430128544594,79.09922098254431
MENTAH,19.992231682520334,86.95580826846985,75.961093465858
MENTAH,20.624433901700606,90.98802013598849,79.16332466752263
MENTAH,19.355101941408044,87.84157896774644,72.76925749010812
MENTAH,18.9275597135349,84.77071988469456,71.36284340590716
MENTAH,18.18777305734298,83.46920337822985,69.90828848469255
MENTAH,18.770688504176576,87.37865731350293,71.83004202179212
MENTAH,19.24861082662217,84.71331664285286,70.30574507029236
MENTAH,17.824526076117582,83.68952708778801,66.07438135104215
MENTAH,18.87135658135329,83.77856017440699,70.01323695819428
MENTAH,18.068116019863712,82.89911397653924,69.58261631711996
MENTAH,19.458529006214903,87.59133260726205,73.6383677884135
MENTAH,19.040737688845148,81.6616828887812,69.30708241117284
MENTAH,18.935404999150695,88.3035273575668,73.5949733718351
MENTAH,18.377429570252392,83.67795360929038,70.9607940239004
MENTAH,18.79513283482544,84.51326162546712,71.90573214339241
MENTAH,16.537420409014608,74.05582734657581,61.40653679607722
MENTAH,17.50192904318459,77.54349776932915,64.35489461141864
MENTAH,17.934922269988608,79.26119581942807,65.09008347530025
MENTAH,17.65446583801283,73.64153690848504,61.143126854729125
MENTAH,18.46955043739134,81.50226173912392,68.45339025124397
MENTAH,19.088103536350193,81.74959814202354,68.53613209043584
MENTAH,16.457619127315603,75.2115939929258,60.89015835140185
